traderId,userName,firstName,lastName,initialCash,finalCash,46_32_initial,46_32_final,46_32_bought,46_32_sold,50_37_initial,50_37_final,50_37_bought,50_37_sold,107_23_initial,107_23_final,107_23_bought,107_23_sold,180_44_initial,180_44_final,180_44_bought,180_44_sold,220_45_initial,220_45_final,220_45_bought,220_45_sold,360_62_initial,360_62_final,360_62_bought,360_62_sold,435_85_initial,435_85_final,435_85_bought,435_85_sold,530_71_initial,530_71_final,530_71_bought,530_71_sold,700_106_initial,700_106_final,700_106_bought,700_106_sold,820_72_initial,820_72_final,820_72_bought,820_72_sold
838,Surfer21,,,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839,Surfer22,,,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,Surfer2,,,25.0,28.1,0,0,0,0,0,0,0,0,8,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,4,2,0,2
841,Surfer10,,,25.0,28.45,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,4,2,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
842,Surfer1,,,25.0,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,0
843,Surfer20,,,25.0,30.1,8,0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,3,1,0,0,0,0
844,Surfer11,,,25.0,28.05,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
845,Surfer12,,,25.0,27.2,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1
846,Surfer13,,,25.0,29.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,3,0,1,0,0,0,0,0,1,1,0,4,4,0,0
847,Surfer14,,,25.0,25.9,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0
848,Surfer15,,,25.0,21.2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,0,0,4,14,12,2,0,0,0,0,0,0,0,0
849,Surfer16,,,25.0,17.8,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,8,8,0,0,0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0
850,Surfer17,,,25.0,12.05,4,8,4,0,4,4,0,0,0,7,7,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
851,Surfer18,,,25.0,29.05,4,2,0,2,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,1,0
852,Surfer19,,,25.0,19.75,0,3,3,0,8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,4
853,Surfer7,,,25.0,23.3,0,2,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,8,8,0
854,Surfer8,,,25.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,6,4,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
855,Surfer9,,,25.0,29.8,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1,1,4,3,0,1,0,0,0,0
856,Surfer3,,,25.0,25.6,0,1,1,0,0,1,1,0,0,1,1,0,8,3,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0
857,Surfer4,,,25.0,23.05,4,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,8,8,0,0,0,0,4,4,0,0,0,0,0,0,0,0
858,Surfer5,,,25.0,26.9,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,4,4,0,0,0,0,0,0
859,Surfer6,,,25.0,11.95,0,0,0,0,0,0,0,0,0,4,4,0,0,10,10,0,4,7,3,0,0,2,2,0,4,6,2,0,4,0,0,4,0,0,0,0,0,0,0,0

Market [46_32] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
843,,,sell,8496,856,,,buy,8493,2016-09-20 04:08:59.0,0.65,1
853,,,buy,8513,843,,,sell,8510,2016-09-20 04:09:29.0,0.65,1
843,,,sell,8516,853,,,buy,8513,2016-09-20 04:09:33.0,0.65,1
850,,,buy,8528,843,,,sell,8517,2016-09-20 04:10:05.0,0.7,1
857,,,buy,8532,843,,,sell,8531,2016-09-20 04:10:17.0,0.65,1
850,,,buy,8539,843,,,sell,8536,2016-09-20 04:10:28.0,0.75,1
850,,,buy,8567,843,,,sell,8563,2016-09-20 04:11:06.0,0.7,1
843,,,sell,8574,850,,,buy,8567,2016-09-20 04:11:13.0,0.7,1
848,,,sell,8660,852,,,buy,8653,2016-09-20 04:13:40.0,0.8,1
851,,,sell,8689,852,,,buy,8653,2016-09-20 04:14:28.0,0.8,2

Market [50_37] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
847,,,sell,8595,856,,,buy,8562,2016-09-20 04:11:45.0,0.8,1
844,,,sell,8667,852,,,buy,8627,2016-09-20 04:13:48.0,0.75,1

Market [107_23] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
855,,,sell,8486,845,,,buy,8481,2016-09-20 04:08:41.0,0.5,1
859,,,buy,8548,855,,,sell,8541,2016-09-20 04:10:45.0,0.5,1
856,,,buy,8576,855,,,sell,8575,2016-09-20 04:11:14.0,0.65,1
859,,,buy,8581,855,,,sell,8578,2016-09-20 04:11:26.0,0.65,1
850,,,buy,8584,845,,,sell,8571,2016-09-20 04:11:31.0,0.7,1
840,,,sell,8585,850,,,buy,8584,2016-09-20 04:11:31.0,0.7,1
840,,,sell,8591,850,,,buy,8584,2016-09-20 04:11:43.0,0.7,1
851,,,sell,8593,850,,,buy,8584,2016-09-20 04:11:43.0,0.7,1
850,,,buy,8604,840,,,sell,8600,2016-09-20 04:11:55.0,0.65,1
859,,,buy,8610,851,,,sell,8593,2016-09-20 04:12:03.0,0.7,1
859,,,buy,8632,840,,,sell,8611,2016-09-20 04:12:56.0,0.8,1
851,,,sell,8646,850,,,buy,8604,2016-09-20 04:13:24.0,0.65,2

Market [180_44] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
843,,,buy,8489,856,,,sell,8484,2016-09-20 04:08:49.0,0.45,1
859,,,buy,8504,856,,,sell,8498,2016-09-20 04:09:09.0,0.5,1
859,,,buy,8505,843,,,sell,8492,2016-09-20 04:09:12.0,0.6,1
859,,,buy,8518,841,,,sell,8515,2016-09-20 04:09:36.0,0.6,3
859,,,buy,8540,856,,,sell,8538,2016-09-20 04:10:30.0,0.5,1
856,,,sell,8547,857,,,buy,8544,2016-09-20 04:10:45.0,0.5,1
859,,,buy,8558,854,,,sell,8553,2016-09-20 04:10:54.0,0.45,1
859,,,buy,8561,854,,,sell,8551,2016-09-20 04:10:56.0,0.5,1
849,,,buy,8609,854,,,sell,8564,2016-09-20 04:12:03.0,0.7,1
849,,,buy,8613,854,,,sell,8602,2016-09-20 04:12:06.0,0.75,1
849,,,buy,8616,854,,,sell,8570,2016-09-20 04:12:12.0,0.85,1
859,,,buy,8673,854,,,sell,8573,2016-09-20 04:13:58.0,0.95,1
856,,,sell,8738,859,,,buy,8650,2016-09-20 04:16:39.0,0.9,1

Market [220_45] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
849,,,buy,8552,858,,,sell,8521,2016-09-20 04:10:49.0,0.7,1
849,,,buy,8566,858,,,sell,8521,2016-09-20 04:11:05.0,0.7,2
849,,,buy,8596,858,,,sell,8583,2016-09-20 04:11:46.0,0.8,1
849,,,buy,8598,842,,,sell,8582,2016-09-20 04:11:50.0,0.85,4
859,,,buy,8642,854,,,sell,8639,2016-09-20 04:13:18.0,0.9,1
850,,,buy,8654,842,,,sell,8649,2016-09-20 04:13:33.0,0.9,1
859,,,buy,8655,842,,,sell,8649,2016-09-20 04:13:34.0,0.9,1
850,,,buy,8656,842,,,sell,8649,2016-09-20 04:13:36.0,0.9,1
850,,,buy,8658,842,,,sell,8649,2016-09-20 04:13:38.0,0.9,1
859,,,buy,8670,846,,,sell,8606,2016-09-20 04:13:53.0,0.95,1
846,,,sell,8699,857,,,buy,8695,2016-09-20 04:15:00.0,0.85,1
850,,,buy,8703,846,,,sell,8701,2016-09-20 04:15:19.0,0.95,1
846,,,sell,8704,850,,,buy,8703,2016-09-20 04:15:19.0,0.95,1
854,,,sell,8721,850,,,buy,8703,2016-09-20 04:16:06.0,0.95,1

Market [360_62] Trades
